2021-08-29 05:05:32 root | cls
2023-09-06 11:44:08 root | help

2023-09-06 11:44:10 root | methods

2023-09-06 11:44:12 root | cls

2023-09-06 11:45:15 root | reload

2023-09-06 11:45:15 root | cls

2023-09-06 11:45:16 root | methods

2023-09-06 11:45:19 root | cls

2023-09-06 11:45:26 root | 

2023-09-06 11:45:56 root | methods

2023-09-06 11:45:57 root | cls

2023-09-06 11:45:58 root | help

2023-09-06 11:46:01 root | cls

2023-09-06 11:46:02 root | plan

2023-09-06 11:46:07 root | cls

2023-09-06 11:46:08 root | sessions

2023-09-06 11:46:10 root | cls

2023-09-06 11:46:53 root | reload

2023-09-06 11:46:53 root | cls

2023-09-06 11:46:59 root | themes

2023-09-06 11:47:01 root | botnet

2023-09-06 11:47:03 root | hel-p

2023-09-06 11:47:05 root | rainbow

2023-09-06 11:47:07 root | cls

2023-09-06 11:47:09 root | help

2023-09-06 11:47:13 root | home

2023-09-06 11:47:14 root | sessions

2023-09-06 11:47:15 root | cls

2023-09-06 11:47:16 root | help

2023-09-06 11:47:17 root | theme

2023-09-06 11:47:19 root | themes

2023-09-06 11:49:00 root | rellad

2023-09-06 11:49:01 root | reload

2023-09-06 11:49:03 root | default

2023-09-06 11:50:54 root | cls

2023-09-06 11:50:56 root | themes

2023-09-06 11:51:00 root | botnet

2023-09-06 11:51:02 root | default

2023-09-06 11:51:25 root | botnet

2023-09-06 11:51:27 root | default

2023-09-06 11:52:29 root | default

2023-09-06 11:53:02 root | botnet

2023-09-06 11:53:04 root | default

2023-09-06 11:54:37 root | botnet

2023-09-06 11:54:39 root | default

2023-09-06 11:54:41 root | cls

2023-09-06 11:54:47 root | reload

2023-09-06 11:54:48 root | cls

2023-09-06 11:54:50 root | defauilt

2023-09-06 11:54:51 root | defauklt

2023-09-06 11:54:54 root | default

2023-09-06 11:54:55 root | cls

2023-09-06 11:54:59 root | exit

2023-09-06 11:55:00 root | 

2023-09-06 11:55:01 root | 

2023-09-06 11:55:56 root | reload

2023-09-06 11:55:57 root | cls

2023-09-06 11:55:58 root | help

2023-09-06 11:55:58 root | cls

2023-09-06 11:57:31 root | reload

2023-09-06 11:57:31 root | cls

2023-09-06 11:57:53 root | reload

2023-09-06 11:57:54 root | cls

2023-09-06 11:58:04 root | reload

2023-09-06 11:58:13 root | reload

2023-09-06 11:58:13 root | cls

2023-09-06 11:58:30 root | reload

2023-09-06 11:58:31 root | cls

2023-09-06 12:00:11 root | cls

2023-09-06 12:02:27 root | mfa

2023-09-06 12:02:28 root | cls

2023-09-06 12:05:41 root | reload

2023-09-06 12:05:42 root | cls

2023-09-06 12:10:33 root | reload

2023-09-06 12:10:34 root | cls

2023-09-06 12:10:57 root | reload

2023-09-06 12:10:58 root | ls

2023-09-06 12:10:59 root | cls

2023-09-06 12:11:05 root | users

2023-09-06 12:11:06 root | cls

2023-09-06 12:11:07 root | who

2023-09-06 12:11:09 root | cls

2023-09-06 12:11:11 root | broadcast 

2023-09-06 12:11:13 root | broadcast

2023-09-06 12:11:15 root | broadcast hello

2023-09-06 12:11:16 root | cls

2023-09-06 12:11:17 root | sessions

2023-09-06 12:11:18 root | cls

2023-09-06 12:11:28 root | commandtodisable

2023-09-06 12:11:37 root | reload

2023-09-06 12:11:37 root | commands

2023-09-06 12:11:39 root | commandtodisable

2023-09-06 12:12:14 root | reload

2023-09-06 12:12:15 root | cls

2023-09-06 12:13:32 root | reload

2023-09-06 12:13:32 root | cls

2023-09-06 12:13:47 root | help

2023-09-06 12:13:49 root | plan

2023-09-06 12:13:49 root | cls

2023-09-06 12:13:51 root | gongoing

2023-09-06 12:13:51 root | cls

2023-09-06 12:13:52 root | ongoign

2023-09-06 12:13:54 root | ongoing

2023-09-06 12:13:55 root | cls

2023-09-06 12:14:03 root | t-tfp

2023-09-06 12:14:04 root | cls

2023-09-06 12:14:06 root | t-ftp

2023-09-06 12:14:23 root | t-tfp 1.1.1.1 30 80

2023-09-06 12:14:25 root | cls

2023-09-06 12:14:30 root | t-ftp 1.1.1.1 30 80

2023-09-06 12:14:32 root | ongoing

2023-09-06 12:14:42 root | ongoing

2023-09-06 12:14:43 root | ohngoing

2023-09-06 12:14:44 root | ongoing

2023-09-06 12:14:45 root | cls

2023-09-06 12:14:46 root | help

2023-09-06 12:14:47 root | cls

2023-09-06 12:14:50 root | plan

2023-09-06 12:15:06 root | users cooldown

2023-09-06 12:15:12 root | users=cooldown

2023-09-06 12:15:17 root | users

2023-09-06 12:15:20 root | users change

2023-09-06 12:15:23 root | users change cooldown

2023-09-06 12:15:29 root | users cooldown=

2023-09-06 12:15:34 root | users cooldown=0 root

2023-09-06 12:15:35 root | cls

2023-09-06 12:15:36 root | ongoing

2023-09-06 12:15:37 root | cls

2023-09-06 12:15:38 root | plan

2023-09-06 12:15:47 root | cls

2023-09-06 12:15:48 root | sessions

2023-09-06 12:15:54 root | cls

2023-09-06 12:16:53 root | exit

2023-09-06 12:16:53 root | 

2023-09-06 12:18:40 root | cls

2023-09-06 12:19:26 root | help

2023-09-06 12:19:53 root | cls

2023-09-06 12:19:53 root | plan

2023-09-06 12:19:55 root | cls

2023-09-06 12:19:57 root | help

2023-09-06 12:19:59 root | cls

2023-09-06 12:20:00 root | attack

2023-09-06 12:20:00 root | cls

2023-09-06 12:20:01 root | methods

2023-09-06 12:20:01 root | cls

2023-09-06 12:20:03 root | users

2023-09-06 12:20:05 root | cls

2023-09-06 12:20:09 root | iplookup

2023-09-06 12:20:10 root | .lookup

2023-09-06 12:20:11 root | cls

2023-09-06 12:21:40 root | reload

2023-09-06 12:21:40 root | cls

2023-09-06 12:21:42 root | reload

2023-09-06 12:21:44 root | cls

2023-09-06 12:22:28 root | reload

2023-09-06 12:22:28 root | cls

2023-09-06 12:22:30 root | default

2023-09-06 12:22:31 root | cls

2023-09-06 12:22:32 root | help

2023-09-06 12:22:32 root | cls

2023-09-06 12:32:00 root | 

2023-09-06 12:32:01 root | 

2023-09-06 12:55:17 root | cls

2023-09-06 12:55:18 root | ongoing

2023-09-06 12:55:19 root | cls

2023-09-06 12:55:22 root | atttack

2023-09-06 12:55:23 root | cls

2023-09-06 12:55:24 root | attack

2023-09-06 12:55:26 root | cls

2023-09-06 12:55:38 root | help

2023-09-06 12:55:42 root | plan

2023-09-06 12:55:46 root | cls

2023-09-06 12:56:15 root | users blacklist=

2023-09-06 12:56:16 root | users blacklist

2023-09-06 12:56:20 root | blacklist

2023-09-06 12:56:22 root | blacklist=

2023-09-06 12:56:23 root | sessions 

2023-09-06 12:56:26 root | sessions blacklist

2023-09-06 12:56:27 root | sessions blacklist=

2023-09-06 12:56:28 root | cls

2023-09-06 12:56:29 root | session

2023-09-06 12:56:30 root | scls

2023-09-06 13:00:17 root | cls

2023-09-06 13:00:19 root | commands

2023-09-06 13:00:20 root | cls

2023-09-06 13:00:22 root | fb

2023-09-06 13:00:23 root | hi

2023-09-06 13:00:24 root | hola

2023-09-06 13:00:24 root | cls

2023-09-06 13:00:26 root | who

2023-09-06 13:00:27 root | cls

2023-09-06 13:00:30 root | reload

2023-09-06 13:00:30 root | cls

2023-09-06 13:00:31 root | help

2023-09-06 13:00:31 root | cls

2023-09-06 13:00:33 root | plan

2023-09-06 13:00:35 root | cls

2023-09-06 13:00:36 root | users

2023-09-06 13:00:38 root | cls

2023-09-06 13:00:40 root | session

2023-09-06 13:00:42 root | sessions

2023-09-06 13:00:43 root | cls

2023-09-06 13:00:44 root | chat

2023-09-06 13:00:45 root | hello

2023-09-06 13:00:46 root | cls

2023-09-06 13:09:04 root | cls

2023-09-06 13:09:05 root | help

2023-09-06 13:09:05 root | cls

2023-09-06 13:09:06 root | ongoing

2023-09-06 13:09:07 root | cls

2023-09-06 13:09:08 root | help

2023-09-06 13:09:08 root | cls

2023-09-06 13:09:10 root | exit

2023-09-06 13:09:10 root | 

2023-09-06 15:30:25 root | help

2023-09-06 15:30:26 root | cls

2023-09-06 15:30:28 root | ongoing

2023-09-06 15:30:29 root | cls

2023-09-06 15:30:43 root | 

2023-09-06 17:37:42 root | cls

2023-09-06 17:37:43 root | help

2023-09-06 17:37:44 root | cls

2023-09-06 17:37:46 root | exit

2023-09-06 17:37:47 root | 

2023-09-06 17:45:37 root | reload

2023-09-06 17:45:38 root | cls

2023-09-06 17:46:00 root | reload

2023-09-06 17:46:01 root | cls

2023-09-06 17:46:13 root | reload

2023-09-06 17:46:14 root | cls

2023-09-06 17:46:25 root | reload

2023-09-06 17:46:26 root | cls

2023-09-06 17:46:27 root | reload

2023-09-06 17:46:27 root | cls

2023-09-06 17:46:41 root | reload

2023-09-06 17:46:41 root | cls

2023-09-06 17:46:53 root | reload

2023-09-06 17:46:53 root | cls

2023-09-06 17:47:05 root | reload

2023-09-06 17:47:05 root | cls

2023-09-06 17:47:21 root | reload

2023-09-06 17:47:21 root | cls

2023-09-06 17:47:53 root | reload

2023-09-06 17:47:53 root | cls

2023-09-06 17:47:56 root | help\cls

2023-09-06 17:47:57 root | cls

2023-09-06 17:47:57 root | hlp

2023-09-06 17:47:58 root | csl

2023-09-06 17:47:59 root | hgelp

2023-09-06 17:48:00 root | help

2023-09-06 17:48:00 root | cls

2023-09-06 17:48:01 root | who

2023-09-06 17:48:01 root | cl

2023-09-06 17:48:02 root | cls

2023-09-06 17:49:41 root | reload

2023-09-06 17:49:41 root | cls

2023-09-06 17:49:49 root | help

2023-09-06 17:49:50 root | cls

2023-09-06 17:52:44 root | geoip

2023-09-06 17:52:45 root | cls

2023-09-06 17:55:59 root | 

2023-09-06 17:56:32 root | sessions

2023-09-06 17:56:38 root | cls

2023-09-06 18:00:52 root | 

2023-09-06 18:59:20 root | cls

2023-09-06 19:00:08 root | help

2023-09-06 19:00:09 root | clds

2023-09-06 19:00:57 root | reload

2023-09-06 19:00:58 root | help

2023-09-06 19:01:02 root | cls

2023-09-06 19:01:04 root | help

2023-09-06 19:01:19 root | reload

2023-09-06 19:01:20 root | help

2023-09-06 19:01:31 root | cls

2023-09-06 19:01:32 root | help

2023-09-06 19:01:33 root | cl

2023-09-06 19:01:33 root | cls

2023-09-06 19:32:45 root | 

2023-09-07 12:26:34 root | cls

2023-09-07 12:26:35 root | help

2023-09-07 12:26:35 root | cls

2023-09-07 12:26:38 root | ongoing

2023-09-07 12:26:39 root | cls

2023-09-07 12:26:43 root | help

2023-09-07 12:26:44 root | cls

2023-09-07 12:27:38 root | methods

2023-09-07 12:27:38 root | cls

2023-09-07 12:27:40 root | reload

2023-09-07 12:27:40 root | cls

2023-09-07 12:27:41 root | help

2023-09-07 12:27:42 root | cls

2023-09-07 12:27:43 root | relaod

2023-09-07 12:27:44 root | cls

2023-09-07 12:27:45 root | reload

2023-09-07 12:27:46 root | cls

2023-09-07 12:27:47 root | help

2023-09-07 12:27:49 root | plan

2023-09-07 12:27:52 root | cls

2023-09-07 12:31:08 root | 

2023-09-07 12:39:36 root | cls

2023-09-07 12:39:37 root | ongoing

2023-09-07 12:39:38 root | cls

2023-09-07 12:39:38 root | help

2023-09-07 12:39:39 root | cls

2023-09-07 12:39:43 root | 

2023-09-07 15:47:32 root | lcd

2023-09-07 15:47:32 root | cls

2023-09-07 15:47:35 root | help[

2023-09-07 15:47:35 root | cls

2023-09-07 15:47:36 root | help

2023-09-07 15:47:38 root | cls

2023-09-07 15:48:48 root | plan

2023-09-07 15:48:53 root | cls

2023-09-07 15:51:58 root | wgho

2023-09-07 15:51:59 root | ls

2023-09-07 15:52:00 root | cls

2023-09-07 15:52:01 root | who

2023-09-07 15:52:01 root | cls

2023-09-07 16:29:42 root | 

2023-09-08 12:09:27 root | cls

2023-09-08 12:09:36 root | cls

2023-09-08 12:09:41 root | help

2023-09-08 12:09:47 root | cle

2023-09-08 12:09:48 root | cls

2023-09-08 12:09:50 root | plan

2023-09-08 12:10:05 root | cls

2023-09-08 12:10:08 root | plan

2023-09-08 12:10:12 root | cls

2023-09-08 12:10:14 root | reload

2023-09-08 12:10:15 root | cla

2023-09-08 12:10:16 root | cls

2023-09-08 12:10:17 root | sho

2023-09-08 12:10:18 root | who

2023-09-08 12:10:20 root | cla

2023-09-08 12:10:21 root | cls

2023-09-08 12:10:25 root | gif

2023-09-08 12:10:26 root | cls

2023-09-08 12:10:28 root | 

2023-09-08 12:10:29 root | 

2023-09-08 13:59:21 root | cls

2023-09-08 13:59:22 root | 

2023-09-08 13:59:39 root | cls

2023-09-08 13:59:40 root | help

2023-09-08 13:59:41 root | cls

2023-09-08 13:59:42 root | 

2023-09-08 21:44:07 root | cls

2023-09-08 21:44:09 root | users

2023-09-08 21:44:11 root | 

2023-09-09 21:24:13 root | cls

2023-09-09 21:24:14 root | 

2023-09-10 18:06:33 root | cls

2023-09-10 18:07:32 root | credits

2023-09-10 18:07:33 root | cls

2023-09-10 18:07:34 root | help

2023-09-10 18:07:34 root | cls

2023-09-10 18:07:35 root | cls

2023-09-10 18:07:36 root | help

2023-09-10 18:07:38 root | plan

2023-09-10 18:07:40 root | csl

2023-09-10 18:07:41 root | cls

2023-09-10 18:11:16 root | 

2023-09-11 12:14:45 root | cls

2023-09-11 12:14:47 root | help-

2023-09-11 12:14:48 root | cls

2023-09-11 12:14:48 root | help

2023-09-11 12:14:51 root | cls

2023-09-11 12:14:52 root | help

2023-09-11 12:14:53 root | c

2023-09-11 12:14:56 root | cls

2023-09-11 12:14:58 root | plan

2023-09-11 12:14:59 root | cls

2023-09-11 12:15:02 root | 

2023-09-13 14:59:15 root | cls

2023-09-13 14:59:16 root | help

2023-09-13 14:59:18 root | ongoing

2023-09-13 14:59:19 root | cls

2023-09-13 14:59:21 root | credits

2023-09-13 14:59:21 root | cls

2023-09-13 14:59:23 root | 

2023-09-13 14:59:24 root | 

2023-09-14 00:06:11 root | cls

2023-09-14 00:09:07 root | cls

2023-09-14 00:09:46 root | cls

2023-09-14 00:12:53 root | cls

2023-09-14 00:12:54 root | 

2023-09-14 00:13:05 root | 

2023-09-14 00:13:11 root | 

2023-09-14 00:13:11 root | 

2023-09-14 00:13:11 root | 

2023-09-14 00:13:11 root | 

2023-09-14 00:13:11 root | 

2023-09-14 00:13:11 root | 

2023-09-14 00:13:11 root | 

2023-09-14 00:13:11 root | 

2023-09-14 00:13:14 root | cccccc

2023-09-14 00:13:14 root | 

2023-09-14 00:13:15 root | 

2023-09-14 00:13:15 root | 

2023-09-14 00:13:15 root | 

2023-09-14 00:13:15 root | 

2023-09-14 00:13:16 root | 

2023-09-14 00:13:16 root | 

2023-09-14 00:13:16 root | 

2023-09-14 00:13:16 root | 

2023-09-14 00:13:16 root | 

2023-09-14 00:13:16 root | 

2023-09-14 00:13:16 root | 

2023-09-14 00:13:16 root | 

2023-09-14 00:13:16 root | 

2023-09-14 00:13:16 root | 

2023-09-14 00:13:17 root | 

2023-09-14 00:13:17 root | 

2023-09-14 00:13:17 root | 

2023-09-14 00:13:17 root | 

2023-09-14 00:13:17 root | 

2023-09-14 00:13:17 root | 

2023-09-14 00:13:17 root | 

2023-09-14 00:13:17 root | 

2023-09-14 00:13:17 root | cls

2023-09-14 00:13:36 root | ls

2023-09-14 00:13:36 root | s

2023-09-14 00:13:36 root | 

2023-09-14 00:13:36 root | 

2023-09-14 00:13:40 root | 

2023-09-14 00:13:50 root | 

2023-09-14 00:13:50 root | 

2023-09-14 00:13:50 root | 

2023-09-14 00:13:56 root | cls

2023-09-14 00:14:01 root | 

2023-09-14 00:14:01 root | 

2023-09-14 00:14:01 root | 

2023-09-14 00:14:01 root | 

2023-09-14 00:14:01 root | 

2023-09-14 00:14:01 root | 

2023-09-14 00:14:01 root | 

2023-09-14 00:14:01 root | 

2023-09-14 00:14:01 root | 

2023-09-14 00:14:01 root | 

2023-09-14 00:14:01 root | 

2023-09-14 00:14:01 root | 

2023-09-14 00:14:02 root | 

2023-09-14 00:14:02 root | 

2023-09-14 00:14:02 root | 

2023-09-14 00:14:02 root | 

2023-09-14 00:14:03 root | 

2023-09-14 00:14:03 root | 

2023-09-14 00:14:03 root | 

2023-09-14 00:14:03 root | 

2023-09-14 00:14:03 root | 

2023-09-14 00:14:03 root | 

2023-09-14 00:14:03 root | 

2023-09-14 00:14:03 root | 

2023-09-14 00:14:03 root | 

2023-09-14 00:14:03 root | 

2023-09-14 00:14:03 root | 

2023-09-14 00:14:03 root | 

2023-09-14 00:14:04 root | cls

2023-09-14 00:27:47 root | 

2023-09-14 13:40:36 root | cls

2023-09-14 13:40:37 root | help

2023-09-14 13:40:39 root | cls

2023-09-14 13:40:40 root | attacl

2023-09-14 13:40:43 root | attacl

2023-09-14 13:40:44 root | cls

2023-09-14 13:40:45 root | attack

2023-09-14 13:40:46 root | cls

2023-09-14 13:40:49 root | t-ftp

2023-09-14 13:40:50 root | cls

2023-09-14 13:40:51 root | 

2023-09-14 14:38:01 root | cls

2023-09-14 14:38:01 root | help

2023-09-14 14:38:02 root | cls

2023-09-14 14:38:04 root | planm

2023-09-14 14:38:04 root | cls

2023-09-14 14:38:05 root | plan'

2023-09-14 14:38:06 root | plan

2023-09-14 14:38:08 root | cls

2023-09-14 14:38:09 root | plan 

2023-09-14 14:38:13 root | cls

2023-09-14 14:38:13 root | users

2023-09-14 14:38:14 root | cls

2023-09-14 14:38:15 root | sessions

2023-09-14 14:38:36 root | ongoing

2023-09-14 14:38:40 root | cls

2023-09-14 14:38:44 root | t-ftp

2023-09-14 14:39:11 root | 

2023-09-14 14:39:20 root | sessions

2023-09-14 14:39:22 root | cls

2023-09-14 14:39:28 root | sessions kick

2023-09-14 14:39:31 root | cls

2023-09-14 14:39:32 root | help

2023-09-14 14:39:33 root | cls

2023-09-14 14:39:42 root | t-ftp

2023-09-14 14:39:46 root | t-ftp 1.1.1.1 30 80

2023-09-14 14:39:48 root | ongoing

2023-09-14 14:40:02 root | ongoing

2023-09-14 14:40:04 root | cls

2023-09-14 14:40:16 root | ongoing

2023-09-14 14:40:18 root | ongoing

2023-09-14 14:40:19 root | cls

2023-09-14 14:40:24 root | plan

2023-09-14 14:40:34 root | cls

2023-09-14 14:40:51 root | plan

2023-09-14 14:41:07 root | reload

2023-09-14 14:41:08 root | cls

2023-09-14 14:41:09 root | plan

2023-09-14 14:41:26 root | users maxtime=

2023-09-14 14:41:31 root | cls

2023-09-14 14:41:33 root | plan

2023-09-14 14:46:09 root | 

2023-09-17 14:32:31 root | help

2023-09-17 14:32:33 root | ongoing

2023-09-17 14:32:34 root | cls

2023-09-17 14:32:35 root | sessions

2023-09-17 14:32:38 root | cls

2023-09-17 14:32:40 root | sessions

2023-09-17 14:32:51 root | users

2023-09-17 14:32:52 root | cls

2023-09-17 14:32:53 root | plan

2023-09-17 14:32:55 root | cls

2023-09-17 14:32:58 root | help

2023-09-17 14:33:02 root | cls

2023-09-17 14:33:04 root | slaves

2023-09-17 14:33:05 root | bots

2023-09-17 14:33:06 root | cla

2023-09-17 14:33:07 root | cls

2023-09-17 14:33:08 root | reload

2023-09-17 14:33:09 root | cla

2023-09-17 14:33:10 root | cls

2023-09-17 14:33:12 root | exit

2023-09-17 14:33:12 root | 

2023-09-18 16:03:20 root | cls

2023-09-18 16:03:21 root | help

2023-09-18 16:03:23 root | cls

2023-09-18 16:03:24 root | plan

2023-09-18 16:03:25 root | cls

2023-09-18 16:03:26 root | 

2023-09-19 04:49:19 root | 

2023-09-20 03:45:33 root | cls

2023-09-20 03:45:33 root | help

2023-09-20 03:45:35 root | cls

2023-09-20 03:45:38 root | sessions

2023-09-20 03:46:28 root | sessions kick

2023-09-20 03:46:36 root | sessions kick root@6

2023-09-20 03:46:37 root | 

2023-09-20 03:46:47 root | session

2023-09-20 03:46:49 root | sessions

2023-09-20 03:46:56 root | sessions kick root@5

2023-09-20 03:46:58 root | cls

2023-09-20 03:47:01 root | sessions

2023-09-20 03:47:09 root | broadcast fag

2023-09-20 03:47:10 root | cls

2023-09-20 03:47:12 root | sessions

2023-09-20 03:47:13 root | users

2023-09-20 03:47:14 root | plan

2023-09-20 03:47:17 root | cls

2023-09-20 03:47:18 root | who

2023-09-20 03:47:21 root | sessions

2023-09-20 03:47:24 root | sessions kick

2023-09-20 03:47:32 root | sessions kick root

2023-09-20 03:47:34 root | 

2023-09-20 03:47:41 root | sessions

2023-09-20 03:48:45 root | 

2023-09-20 03:49:09 root | sessions

2023-09-20 03:49:14 root | cls

2023-09-20 03:49:52 root | 

